shell,test_distance,difference
PRPA045_130_AP_KK,15000,8.039285398816908
PRPA055_130MM_AP_OHOTNIK,15000,8.039285398816908
PVPA030_152MM_AP_100LBS,15000,8.004328776338898
PSPA010_152MM_AP_100LBS,15000,8.004328776338898
PXPA062_203MM_50_1924_AP,25000,7.977136359992332
PFPA019_203MM_50_1924_AP,25000,7.977136359992332
PFPA092_203MM_AP_DUPLEIX,25000,7.977136359992332
PAPA113_127mm_AP_SOMERS,15000,7.971657687311451
PAPA110_127MM_AP_HILL,15000,7.971657687311451
PAPA109_127MM_AP_BENHAM,15000,7.971657687311451
PZPA004_127_AP_LO_YANG,15000,7.971657687311451
PXPA064_Shell_127mm_AP_SC_Mk_38,15000,7.971657687311451
PZPA061_127MM_AP_T11,15000,7.971657687311451
PAPA158_127MM_AP_HALFORD,15000,7.971657687311451
PAPA004_Shell_127mm_AP_SC_Mk_38,15000,7.971657687311451
PAPA078_127MM_AP_KIDD,15000,7.971657687311451
PAPA068_127MM_AP_FLINT,15000,7.971657687311451
PZPA008_127_AP_MK_38,15000,7.971657687311451
PAPA086_127MM_AP_MONAGHAN,15000,7.971657687311451
PZPA053_127MM_AP_SC_MK_38,15000,7.971657687311451
PWPA029_127MM_AP_VELOS,15000,7.971657687311451
PAPA070_127MM_AP_BLACK,15000,7.971657687311451
PAPA150_152MM_AP_VALLEJO,25000,7.970130098420292
PFPA067_152MM_BAYARD,15000,7.9486361675022765
PFPA015_152MM_55_1930_AP_1937,15000,7.9486361675022765
PFPA027_152MM_GRASSE_AP,15000,7.9486361675022765
PUPA010_152MM_AP_MYSORE,15000,7.9486361675022765
PXPA036_220_AP_B_23,5000,7.892626664137881
PZPA030_203MM_AP_MARTEL_CN,25000,7.875331167067845
PFPA021_203MM_55_1931_AP,25000,7.875331167067845
PFPA013_152MM_55_1930_AP_1931,15000,7.819266441666639
PAPA137_305MM_AP_CONGRESS,25000,7.814138048292718
PAPA088_305MM_AP_ALASKA_MK18M1,25000,7.814138048292718
PAPA117_305MM_AP_P_RICO_MK18M1,25000,7.814138048292718
PRPA117_180_AP_B_32_S_MIKOYAN,20000,7.809547917717197
PZPA002_130_AP_ANSHAN,15000,7.799982796382832
PRPA146_130MM_AP_PB46_TASH39,15000,7.799982796382832
PRPA050_AP_LGD,15000,7.799982796382832
PZPA026_130MM_AP_SILIWANGI,15000,7.799982796382832
PRPA003_130mm_AP_PB_46,15000,7.799982796382832
PRPA019_130MM_AP_NEPREM,15000,7.799982796382832
PJPA043_Shell_152mm_AP_C_Type_4,15000,7.793452624101738
PFPA011_155MM_50_1920_AP,15000,7.775596455218481
PIPA029_152MM_53_AP_1926,20000,7.761222135431711
PVPA022_152MM_53_AP_1926,20000,7.761222135431711
PWPA009_120MM_AP_45_M24,15000,7.750015343375782
PFPA092_203MM_AP_DUPLEIX,20000,7.744137175677124
PXPA062_203MM_50_1924_AP,20000,7.744137175677124
PFPA019_203MM_50_1924_AP,20000,7.744137175677124
PBPA005_102MM_AP_CAMPBELTOWN,10000,7.738276440148706
PAPA033_Shell_102mm_AP_SC_Mk_16,10000,7.738276440148706
PRPA119_180_AP_BAGRATION,20000,7.731497311272739
PVPA018_152MM_AP_130LBS_MK35,15000,7.7294341378078
PRPA047_180_AP_MOLOTOV,25000,7.724944142278356
PRPA038_180_AP_B_32_F,25000,7.724944142278356
PJPA041_76mm_AP_Type_0,5000,7.714591035954355
PFPA008_139MM_55_1923_AP,10000,7.710305587893562
PWPA043_152MM_53_AP_ELLI,20000,7.673328841417804
PIPA004_152MM_53_AP_EARLY_DUCA,20000,7.673328841417804
PFPA032_305MM_45_1910_AP,20000,7.6733003058716776
PAPA150_152MM_AP_VALLEJO,20000,7.6701108124712425
PVPA020_152MM_AP_6CRH_MK4,20000,7.661839570293361
PWPA046_150MM_AP_JAGER,15000,7.628476096522729
PIPA037_203MM_50_AP_GENOVA,20000,7.612781398094826
PIPA034_203MM_50_1924_AP,20000,7.612781398094826
PBPA096_152MM_AP_PLYMOUTH,15000,7.601032983211442
PUPA002_152MM_AP_PERTH,15000,7.601032983211442
PBPA093_152MM_AP_BELFAST2,15000,7.601032983211442
PBPA016_152MM_AP_6CRH_MK4,15000,7.601032983211442
PZPA050_152MM_AP_6CRH_MK4,15000,7.601032983211442
PBPA021_152MM_AP_BEL,15000,7.601032983211442
PGPA100_150MM_AP_L3_8_MUNCHEN,20000,7.5996159231763505
PJPA027_Shell_120mm_AP_C,10000,7.570237542172964
PFPA006_165MM_45_1893_AP,15000,7.5633906868007195
PJPA023_Shell_120mm_AP_C_Type_0,15000,7.558695920521119
PXPA014_120MM_AP_HELLSINK,15000,7.558695920521119
PFPA021_203MM_55_1931_AP,20000,7.550806220653583
PZPA030_203MM_AP_MARTEL_CN,20000,7.550806220653583
PZPA054_127MM_AP_MK_X,10000,7.544796129763998
PBPA009_152MM_AP_100LBS,10000,7.519907172012652
PJPA999_Useless_AP_Special,20000,7.514414254815693
PGPA114_150MM_AP_WEIMAR,20000,7.494717484377089
PRPA067_150MM_AP_MAKAROV,20000,7.494717484377067
PGPA020_150MM_AP_PSGR_L3_7_C25,20000,7.494717484377067
PGPA141_150MM_AP_LEIPZIG,20000,7.494717484377067
PIPA024_120MM_50_1909_AP,15000,7.484156533755937
PUPA019_152MM_AP_BRISBANE,10000,7.466132896604205
PAPA080_406MM_AP_MASS,25000,7.456786434737972
PXPA051_Shell_406mm_AP_AP_Mk_8,25000,7.456786434737972
PAPA133_406MM_AP_ALABAMA_VL,25000,7.456786434737972
PAPA074_406MM_AP_ALABAMA,25000,7.456786434737972
PAPA076_406MM_AP_ALABAMA,25000,7.456786434737972
PAPA011_Shell_406mm_AP_AP_Mk_8,25000,7.456786434737972
PAPA141_406MM_AP_KEARSARGE,25000,7.456786434737972
PFPA028_130MM_40_1919_AP,10000,7.405631151292003
PFPA057_130MM_AP_SIROCCO,10000,7.405631151292003
PJPA086_152MM_AP_YAHAGI,15000,7.3894119070312625
PJPA135_152MM_AP_CL,15000,7.3894119070312625
PWPA011_100MM_AP_47_OTO1931,10000,7.385981656340279
PBPA013_152MM_AP_4CRH_SC,15000,7.374504956888406
PRPA037_180_AP_B_32_S,15000,7.358969090361911
PWPA004_305MM_AP_VIRIBUS,25000,7.351564593448523
PBPA017_152MM_AP_MK5,10000,7.341831362363682
PBPA113_152MM_AP_MK5_T11,10000,7.341831362363682
PBPA099_152MM_AP_TIGER59,10000,7.341831362363682
PXPA017_152MM_AP_MK5,10000,7.341831362363682
PRPA901_220MM_AP_PETROZ,30000,7.340608520729952
PRPA123_220MM_AP_B44,30000,7.340608520729952
PAPA061_SHELL_152MM_AP_SC_MK_27_MOD_5,20000,7.33376826754788
PRPA006_Shell_152mm_AP_SC_Mk_27_Mod_2,20000,7.3303545634095135
PZPA063_130MM_AP_LUSHUN,15000,7.328663309091499
PRPA057_130MM_AP_PB_42_SM21,15000,7.328663309091499
PZPA042_130MM_AP_DALIAN,15000,7.328663309091499
PRPA102_130MM_AP_SMOLENSK,15000,7.328663309091499
PRPA194_130MM_AP_PB_42,15000,7.328663309091499
PRPA092_130MM_AP_NEUSTR,15000,7.328663309091499
PRPA190_130MM_AP_PB_42_R10,15000,7.328663309091499
PRPA140_130MM_AP_PB_42_SM21_T11,15000,7.328663309091499
PJPA060_SHELL_305MM_AP_850LBS,15000,7.321241326436967
PVPA022_152MM_53_AP_1926,15000,7.295594766717084
PIPA029_152MM_53_AP_1926,15000,7.295594766717084
PGPA112_150MM_AP_PSGR_L4_5_AUSF_B,20000,7.289511713659924
PGPA067_150MM_AP_PSGR_L4_5,20000,7.2827681637259944
PGPA079_150MM_AP_Z39,20000,7.2827681637259944
PGPA120_150MM_AP_SCHONBERG,20000,7.2827681637259944
PAPA088_305MM_AP_ALASKA_MK18M1,20000,7.25832702228264
PAPA137_305MM_AP_CONGRESS,20000,7.25832702228264
PAPA117_305MM_AP_P_RICO_MK18M1,20000,7.25832702228264
PJPA122_203MM_AP_MAYA2,20000,7.2049403781367705
PJPA008_Shell_203mm_AP_AP_Type_91,20000,7.2049403781367705
PJPA922_Shell_203mm_AP_AP_Type_91,20000,7.2049403781367705
PJPA920_Shell_203mm_AP_AP_Type_91,20000,7.2049403781367705
PJPA918_Shell_203mm_AP_AP_Type_91,20000,7.2049403781367705
PXPA022_Shell_127mm_AP_SC_Mk_38,5000,7.179649482655215
PFPA051_139MM_AP_TERRIBLE_1924,20000,7.172012409757311
PFPA055_AP_TST_TERRIBLE,20000,7.172012409757311
PFPA059_139MM_55_1924_AP,20000,7.172012409757311
PJPA050_305mm_AP_APC_Mark_VI,20000,7.123444226884601
PAPA043_Shell_127_AP_C_Mk_15,0,-7.116144336189967
PZPA014_127_AP_MK_7,0,-7.116144336189967
PBPA101_127MM_AP_DRUID,0,-7.109462162629976
PHPA009_150MM_AP_BOFORS,20000,7.107582144715607
PHPA022_150MM_AP_TROMP,20000,7.107582144715607
PXPA312_152MM_DUCK_AP_Big,15000,-7.098306527799836
PZPA019_130MM_AP,10000,7.080479576512433
PJPA025_Shell_155mm_AP_APC_Type_91,15000,7.079295166397204
PJPA133_155MM_50_AP_CL,15000,7.079295166397204
PXPA048_Shell_155mm_AP_APC_Type_91,15000,7.079295166397204
PGPA071_128MM_AP_C41,15000,7.0738197796640145
PXPA025_128MM_AP_C41,15000,7.0738197796640145
PAPA141_406MM_AP_KEARSARGE,20000,7.034989381166201
PXPA051_Shell_406mm_AP_AP_Mk_8,20000,7.034989381166201
PAPA076_406MM_AP_ALABAMA,20000,7.034989381166201
PAPA080_406MM_AP_MASS,20000,7.034989381166201
PAPA011_Shell_406mm_AP_AP_Mk_8,20000,7.034989381166201
PAPA133_406MM_AP_ALABAMA_VL,20000,7.034989381166201
PAPA074_406MM_AP_ALABAMA,20000,7.034989381166201
PAPA072_406MM_AP_MISSOURI,30000,7.030970948815152
PAPA014_Shell_406mm_AP_AP_Mk_8,30000,7.030970948815152
PAPA103_406_AP_TST_MONTANA,30000,7.030970948815152
PXPA087_MONTANA_H2019_AP,30000,7.030970948815152
PWPA004_305MM_AP_VIRIBUS,20000,7.023283079447551
PGPA106_128MM_AP_ZF6,15000,7.004446280118293
PRPA202_152MM_AP_POZHARSKY,25000,7.0031151297154315
PGPA100_150MM_AP_L3_8_MUNCHEN,15000,6.987071505372366
PJPA102_150MM_55_AP_C28_HAREKAZE_2,20000,6.984558272892749
PAPA043_Shell_127_AP_C_Mk_15,15000,6.981076394923957
PZPA014_127_AP_MK_7,15000,6.981076394923957
PIPA009_152MM_55_AP_ABRUZZI,15000,6.974129897864523
PAPA050_152mm_AP_130lbs_Mk35,10000,6.955741098639612
PFPA004_138MM_40_1923_AP,10000,6.950113562507476
PFPA030_138MM_AP_AIGLE,10000,6.950113562507476
PAPA019_Shell_152mm_AP_AP_Mk_35,10000,6.948349615162508
PVPA002_152MM_AP_NUEVE,10000,6.948349615162508
PAPA090_152MM_AP_BOISE,10000,6.948349615162508
PAPA099_152MM_AP_MONTPELIER,10000,6.948349615162508
PRPA038_180_AP_B_32_F,20000,6.913770916234441
PRPA047_180_AP_MOLOTOV,20000,6.913770916234441
PRPA070_305_AP_REV,15000,6.909773523329821
PXPA006_305MM_AP_RASPUTIN,15000,6.909773523329821
PRPA015_305_AP_1911,15000,6.909773523329821
PRPA115_152MM_B35_OCHAKOV,15000,6.895770989635097
PRPA089_152MM_AP_LAZO,15000,6.895770989635097
PZPA023_152MM_B35_IRIAN,15000,6.895770989635097
PZPA022_152MM_HUANGHE_AP,15000,6.895770989635097
PRPA021_152MM_B35_KUTUZOV,15000,6.895770989635097
PRPA035_152MM_B35,15000,6.895770989635097
PBPA090_190MM_AP_200LBS,20000,6.894537027759551
PRPA111_152MM_AP_MK2,25000,6.887694305526915
PAPA123_457MM_AP_18_47_B1,25000,6.87756104148205
PAPA991_457MM_AP_CONNECTICUT,25000,6.87756104148205
PAPA993_457MM_AP_UTAH,25000,6.87756104148205
PBPA033_343MM_MV_IA_AP,25000,6.863518735720064
PAPA103_406_AP_TST_MONTANA,25000,6.835488737736117
PAPA072_406MM_AP_MISSOURI,25000,6.835488737736117
PXPA087_MONTANA_H2019_AP,25000,6.835488737736117
PAPA014_Shell_406mm_AP_AP_Mk_8,25000,6.835488737736117
PRPA113_180MM_AP_CM_48,30000,6.835080639789481
PXPA002_283MM_AP_HYDE,20000,6.814819202263744
PGPA056_283MM_AP_PZ_GR_L3_2,20000,6.814819202263744
PIPA018_320MM_AP_GCESARE,25000,6.799712732441665
PRPA137_320MM_AP_NOVOROS,25000,6.799712732441665
PIPA005_320MM_AP_Model1936,25000,6.799712732441665
PFPA065_127MM_54_1948_AP_MG,10000,6.7944844764094015
PJPA120_127MM_AP_T11,15000,6.78978825554839
PJPA075_127mm_50_AP_HAREKAZE,15000,6.78978825554839
PJPA097_127MM_AP_HAYATE,15000,6.78978825554839
PJPA016_127MM_AP_YUKIKAZE,15000,6.78978825554839
PJPA011_Shell_127mm_AP_Type_0,15000,6.78978825554839
PJPA083_127_AP_ASASHIO,15000,6.78978825554839
PJPA094_127MM_AP_YUDACHI,15000,6.78978825554839
PJPA127_127MM_AP_TOKACHI,15000,6.78978825554839
PGPA007_105MM_AP_PSGR,5000,6.778787066915126
PZPA015_105MM_AP_PSGR,5000,6.778787066915126
PGPA109_150MM_AP_PSGR_L3_7_C25_AUSF_C,25000,6.759819033340575
PSPA005_135MM_AP_BAZAN_IT,20000,6.747206456399191
PBPA112_133MM_AP_DIDO,10000,6.743210652641274
PUPA018_133MM_AP_HECTOR,10000,6.743210652641274
PAPA115_457MM_AP_OHIO_SH,30000,6.735013069271689
PAPA105_457MM_AP_GEORGIA_SH,30000,6.735013069271689
PRPA124_180_AP_B_33_F,15000,6.729674755293846
PGPA125_150MM_AP_WH_BLACKTEMPLAR,20000,6.687175806635115
PGPA089_150MM_AP_MAINZ,20000,6.687175806635115
PSPA002_203MM_AP_CANARIAS,0,-6.686278204035235
PHPA015_152MM_AP_DE_ZEVEN,20000,6.677293239069404
PWPA025_152MM_AP_RAGNAR,20000,6.677293239069404
PVPA036_152MM_AP_GRAU,20000,6.677293239069404
PHPA013_152MM_AP_BOFORS,20000,6.677293239069404
PRPA901_220MM_AP_PETROZ,25000,6.6696147919813376
PRPA123_220MM_AP_B44,25000,6.6696147919813376
PXPA023_Shell_203mm_AP_AP_Mk_21,10000,6.666192594673159
PAPA203_203MM_AP_MK_21_T11,10000,6.666192594673159
PAPA139_203MM_AP_ROCHESTER,10000,6.666192594673159
PAPA012_Shell_203mm_AP_AP_Mk_21,10000,6.666192594673159
PAPA143_203MM_AP_TULSA,10000,6.666192594673159
